date,Q,P,PET,T
1988-10-05,0,0,8.71,24.19
1988-10-06,0,0,8.76,24.02
1988-10-07,0,0.02,8.4,22.77
1988-10-08,0,0.16,7.58,19.76
1988-10-09,0,0,7.87,18.07
1988-10-10,0,0,7.84,17.31
1988-10-11,0,0,7.76,15.83
1988-10-12,0,0,8.83,17.66
1988-10-13,0,0,10.25,19.55
1988-10-14,0,0,9.08,19.4
1988-10-15,0,0,8.92,20.57
1988-10-16,0,0,8.86,20.37
1988-10-17,0,0,8.29,18.72
1988-10-18,0,0,8.76,18.2
1988-10-19,0,0,8.47,19.13
1988-10-20,0,0,8.48,19.17
1988-10-21,0,0,7.79,17.68
1988-10-22,0,0,7.96,18.15
1988-10-23,0,0,10.59,21.23
1988-10-24,0,0,11.9,23.35
1988-10-25,0,0,9.28,23.17
1988-10-26,0,0.02,11.41,23.23
1988-10-27,0,1.04,9.28,21.62
1988-10-28,0,0,9.21,19.87
1988-10-29,0,0,9.99,20.6
1988-10-30,0,0,10.65,22.76
1988-10-31,0,0.01,8.31,22.37
1988-11-01,0,0.03,8.33,22.84
1988-11-02,0,0,9.01,22.29
1988-11-03,0,0,9.05,21.77
1988-11-04,0,0,9.4,21.97
1988-11-05,0,0,9.11,22.93
1988-11-06,0,0,9.66,22.74
1988-11-07,0,0,9.85,21.1
1988-11-08,0,0,8.8,20.63
1988-11-09,0,0,11.4,23
1988-11-10,0,0,12.14,24.92
1988-11-11,0,0.02,10.37,24.7
1988-11-12,0,9.92,6.32,20.79
1988-11-13,0,7.65,5.49,19.62
1988-11-14,0,3.53,6.17,20.12
1988-11-15,0,0.23,7.17,21.47
1988-11-16,0,1.27,7.54,21.67
1988-11-17,0,0.61,8.29,22.05
1988-11-18,0,0.44,7.88,22.28
1988-11-19,0,0.01,8.87,22.87
1988-11-20,0,0,8.79,23.46
1988-11-21,0,1.23,7.72,22.81
1988-11-22,0,0,8.51,24.61
1988-11-23,0,0,9.6,24.47
1988-11-24,0,0.08,10.43,21.8
1988-11-25,0,0.78,7.98,20.53
1988-11-26,0,0,9.27,21.38
1988-11-27,0,0,9.64,21.59
1988-11-28,0,0,9.35,22.44
1988-11-29,0,2.5,8.23,22.77
1988-11-30,0,1.86,9.33,23.11
1988-12-01,0,0.16,9.4,22.62
1988-12-02,0,0.27,8.56,22.22
1988-12-03,0,0.52,8.59,22.38
1988-12-04,0,1.49,8.99,22.75
1988-12-05,0,0.18,9.97,21.67
1988-12-06,0,0.07,9.86,21.28
1988-12-07,0,0.06,10.17,22.07
1988-12-08,0,0,10.89,22.53
1988-12-09,0,0.01,10.13,22.52
1988-12-10,0,0.87,6.68,20.57
1988-12-11,0,0.01,8.35,22.5
1988-12-12,0,0.06,8.43,21.99
1988-12-13,0,0,7.32,22.17
1988-12-14,0,0.51,7.24,21.3
1988-12-15,0,0,9.29,22.52
1988-12-16,0,0,9.94,22.52
1988-12-17,0,0,9.43,22.59
1988-12-18,0,0,8.37,22.02
1988-12-19,0,0.01,9.87,22.1
1988-12-20,0,0,10.07,23.16
1988-12-21,0,13.9,7,22.01
1988-12-22,0,12.64,7.7,21.31
1988-12-23,0,0.86,6.18,19.84
1988-12-24,0,0.01,9.62,19.88
1988-12-25,0,0.17,9.08,21.26
1988-12-26,0,0,9.65,23.63
1988-12-27,0,10.87,6.94,22.43
1988-12-28,0,5.79,6.33,21.47
1988-12-29,0,11.26,6.64,20.4
1988-12-30,0,0.55,6.78,21.13
1988-12-31,0,3.28,6.97,20.14
1989-01-01,0,0.01,9.05,19.89
1989-01-02,0,3.38,7.44,18.94
1989-01-03,0,8.33,6.42,19.38
1989-01-04,0,9.55,4.8,17.81
1989-01-05,0,3.09,6.52,17.42
1989-01-06,0,1.42,7.42,19.12
1989-01-07,0,0.12,8.1,20.76
1989-01-08,0,0,8.41,22.18
1989-01-09,0,0,9.22,22.62
1989-01-10,0,0.01,9.31,22.22
1989-01-11,0,0,9.39,22.12
1989-01-12,0,0,9.67,22.74
1989-01-13,0,0,9.12,22.78
1989-01-14,0,2.98,8.24,22.73
1989-01-15,0,3.89,7.63,21.54
1989-01-16,0,12.34,6.25,20.11
1989-01-17,0,9.13,6.6,19.69
1989-01-18,0,11.44,6.14,18.9
1989-01-19,0,0.01,8.41,18.91
1989-01-20,0,0.01,8.4,19.36
1989-01-21,0,11.37,6.58,19.93
1989-01-22,0,1.68,4.44,19.59
1989-01-23,0,19.46,4.96,19.86
1989-01-24,0,13.6,5.69,20.29
1989-01-25,0,0.29,8.17,21.27
1989-01-26,0,7.6,6.71,20.39
1989-01-27,0,15.94,5.48,19.96
1989-01-28,0,2.55,7.29,20.11
1989-01-29,0,3.21,6.12,19.59
1989-01-30,0,2.51,4.85,18.68
1989-01-31,0,15.8,4.52,18.56
1989-02-01,0,28.47,3.81,18.68
1989-02-02,0,15.57,3.91,18.2
1989-02-03,0,0.07,8.78,20.43
1989-02-04,0,1.66,6.91,20.04
1989-02-05,0,7.57,5.2,18.43
1989-02-06,0,14.55,5.14,17.97
1989-02-07,0,12.17,4.3,17.3
1989-02-08,0,2.09,3.19,17.46
1989-02-09,0,10.9,2.48,18.02
1989-02-10,0,14.32,3.21,17.71
1989-02-11,0,2.59,3.33,15.84
1989-02-12,0,7.57,3.33,16.97
1989-02-13,0,1.62,4.62,17.8
1989-02-14,0,0.19,5.67,18.64
1989-02-15,0,0,7.94,18.7
1989-02-16,0,0,8.43,18.33
1989-02-17,0,0,7.6,19.05
1989-02-18,0,0,6.41,20.55
1989-02-19,0,0.01,6.88,20.57
1989-02-20,0,0.15,7.2,20.34
1989-02-21,0,0,8.65,19.97
1989-02-22,0.07,0,8.36,19.42
1989-02-23,0,0.17,7.5,19.84
1989-02-24,0,0.2,7.06,19.99
1989-02-25,0,0.5,7.53,21.09
1989-02-26,0,0,7.36,21.9
1989-02-27,0,0.08,7.34,21.76
1989-02-28,0,0.21,7.73,21.6
1989-03-01,0,0,9.03,20.88
1989-03-02,0,0,9.3,20.59
1989-03-03,0,0,9.62,22.96
1989-03-04,0,3.59,6.88,21.19
1989-03-05,0,7.05,6.62,21.18
1989-03-06,0,0.58,7.58,21.33
1989-03-07,0,0.02,8.01,21.54
1989-03-08,0,0.01,8.8,22.51
1989-03-09,0,0,9.68,23.52
1989-03-10,0,0,8.77,23.6
1989-03-11,0,0,8.87,23.97
1989-03-12,0,0,9.31,24.03
1989-03-13,0,0.02,8.8,23.53
1989-03-14,0,0,9.01,22.46
1989-03-15,0,0,8.89,21.97
1989-03-16,0,0,9.07,22.14
1989-03-17,0,2.96,6.13,20.68
1989-03-18,0,3.58,6.58,21.24
1989-03-19,0,0.57,7.1,21.7
1989-03-20,0,6.16,5.46,20.81
1989-03-21,0,11.42,6.02,20.42
1989-03-22,0,1.72,6.2,21.03
1989-03-23,0,0.12,6.91,21.42
1989-03-24,0,0,7.5,21.59
1989-03-25,0,0.03,7.69,21.52
1989-03-26,0,0,7.14,21.27
1989-03-27,0,0.01,7.09,21.12
1989-03-28,0,0,7,21.73
1989-03-29,0,0.48,7.18,20.72
1989-03-30,0,0,7.41,19.2
1989-03-31,0,0,10.56,18.59
1989-04-01,0,0,8.97,20.83
1989-04-02,0,0,7.46,21.62
1989-04-03,0,4.51,6.31,20.6
1989-04-04,0,0.37,6.69,20.86
1989-04-05,0.2,0.04,6.87,20.91
1989-04-06,0,0.03,7.52,21.43
1989-04-07,0,0.06,7.55,21.7
1989-04-08,0,0.54,7.95,21.62
1989-04-09,0,2.11,6.77,19.82
1989-04-10,0,0.18,6.33,19.82
1989-04-11,NaN,0.04,6.98,20.86
1989-04-12,NaN,0.01,7.28,20.75
1989-04-13,0,0.96,6.24,18.87
1989-04-14,0,0.03,6.64,17.89
1989-04-15,0,0,6.68,18.44
1989-04-16,0,0.1,5.92,19.46
1989-04-17,0,5.03,5.7,18.93
1989-04-18,0,2.99,5.99,17.72
1989-04-19,0,4.24,4.59,16.16
1989-04-20,0,5.63,4.39,15.72
1989-04-21,0,0.35,5.25,13.25
1989-04-22,0,0.06,4.93,11.3
1989-04-23,0.07,0,6.17,13.68
1989-04-24,0,14.09,4.99,15.4
1989-04-25,0,4.9,4.27,15.03
1989-04-26,0,0.58,4.28,14.15
1989-04-27,0,0,4.72,14.49
1989-04-28,0,0,4.71,15.08
1989-04-29,0,0.01,4.83,16.61
1989-04-30,0.36,0.01,4.5,17.41
1989-05-01,0.09,0,4.91,17.39
1989-05-02,0,0,5.41,17.43
1989-05-03,0,0,5.89,16.93
1989-05-04,0,0,5.78,16.72
1989-05-05,0,0,5.69,18.06
1989-05-06,0,0,7.49,19.31
1989-05-07,0,14.78,5.77,16.45
1989-05-08,0,1.43,3.53,15.04
1989-05-09,0,0,4.4,15.57
1989-05-10,0,0,4.24,17.39
1989-05-11,0,0,4.59,16.77
1989-05-12,0,0,4.65,16.45
1989-05-13,0,0,4.77,15.74
1989-05-14,0.11,0,5.24,17.35
1989-05-15,0,0,4.75,17.66
1989-05-16,0,0,4.9,17.74
1989-05-17,0,0,4.81,17.63
1989-05-18,0.29,0,5.49,17.56
1989-05-19,0,0,5.81,17.86
1989-05-20,0,0,5.54,17.63
1989-05-21,0,0,5.39,16.78
1989-05-22,0,0,5.35,16.86
1989-05-23,0,0,5.87,17.99
1989-05-24,0,0,4.81,18.61
1989-05-25,0,0,5,18.93
1989-05-26,0,0,5.79,18.61
1989-05-27,0,0,5.13,15.89
1989-05-28,0,0,5.89,16.18
1989-05-29,0,1.83,5.46,16.1
1989-05-30,0,0.59,4.91,15.47
1989-05-31,0,0,5.97,13.95
1989-06-01,0,0,4.2,10.43
1989-06-02,0,0,3.8,8.06
1989-06-03,0,0,4.11,7.99
1989-06-04,0,0,5.98,8.29
1989-06-05,0,0,5.3,8.97
1989-06-06,0,0,4.62,11.56
1989-06-07,0,0,4.56,12.55
1989-06-08,0,0,5.18,14.14
1989-06-09,0,0,5.44,15.11
1989-06-10,0,0.01,5.01,14.81
1989-06-11,0,0,6.06,13.26
1989-06-12,0,0,6.67,12.45
1989-06-13,0,0,6.68,12.41
1989-06-14,0,0,6.05,11.58
1989-06-15,0,0,6.33,11.51
1989-06-16,0,0,6.29,12.17
1989-06-17,0,0,4.84,12.29
1989-06-18,0,0,4.55,11.42
1989-06-19,0,0,4.62,11.69
1989-06-20,0,0,5.32,12.72
1989-06-21,0,0,5.07,12.8
1989-06-22,0,0,4.9,13.35
1989-06-23,0,0,4.2,14.18
1989-06-24,0,0,4.34,12.84
1989-06-25,0,0,3.85,11.89
1989-06-26,0,0,4.32,10.59
1989-06-27,0,0,4.04,12.98
1989-06-28,0,0,4.81,14.1
1989-06-29,0,0,4.88,16.55
1989-06-30,0,0,4.4,15.72
1989-07-01,0,0,4.8,12.91
1989-07-02,0,0,5.03,13.75
1989-07-03,0,0,4.29,15.17
1989-07-04,0,0,4.19,15.13
1989-07-05,0,0,4.06,15.31
1989-07-06,0,0,4.57,15.39
1989-07-07,0,0,4.91,15.13
1989-07-08,0,0,5.63,15.08
1989-07-09,0,0,4.62,14.98
1989-07-10,0,0,4.49,13.77
1989-07-11,0,0,3.97,13.28
1989-07-12,0,0,5.31,13.29
1989-07-13,0,0,5.89,14.3
1989-07-14,0,0,5.65,13.78
1989-07-15,0,0,4.93,13.58
1989-07-16,0,0,4.77,12.51
1989-07-17,0,0,4.04,9.04
1989-07-18,0,0,4.58,5.72
1989-07-19,0,0,5.49,7
1989-07-20,0,0,6.25,7.93
1989-07-21,0,0,6.79,8.42
1989-07-22,0,0,6.2,9.23
1989-07-23,0,0,5.3,10.58
1989-07-24,0,0,5.49,12.07
1989-07-25,0,0,5.24,13.28
1989-07-26,0,0,4.73,13.81
1989-07-27,0,0,5.08,14.27
1989-07-28,0,0,6.06,14.84
1989-07-29,0,0,6.34,16.49
1989-07-30,0,0,5.6,15.98
1989-07-31,0,0,5.07,16.2
1989-08-01,0,0,5.98,16.11
1989-08-02,0,0,4.52,16.04
1989-08-03,0.09,0,5.29,15.36
1989-08-04,0,0,6.37,17.42
1989-08-05,0,0,7.28,17.34
1989-08-06,0,0,5.73,15.6
1989-08-07,0,0,5.63,15.48
1989-08-08,0,0,5.56,15.49
1989-08-09,0,0,5.16,15.88
1989-08-10,0,0,5.97,15.78
1989-08-11,0,0,5.54,15.75
1989-08-12,0,0,5.57,15.72
1989-08-13,0,0,4.98,14.18
1989-08-14,0,0,4.61,12.96
1989-08-15,0,0,5.94,14.16
1989-08-16,0,0,4.9,14.96
1989-08-17,0,0,6.81,17.35
1989-08-18,0,0,6.87,19.52
1989-08-19,0,0,7.04,17.43
1989-08-20,0,0,5.39,16.36
1989-08-21,0,0,5.34,18.09
1989-08-22,0,0.07,6.43,18.56
1989-08-23,0,0,7.81,20.11
1989-08-24,0,0,7.42,18.06
1989-08-25,0,0,5.75,17.38
1989-08-26,0,0,6.26,16.89
1989-08-27,0,0,6.02,15.19
1989-08-28,0,0,7.93,17.46
1989-08-29,0,0,6.27,17.72
1989-08-30,0,0,5.47,14.76
1989-08-31,0,0,6.8,15.79
1989-09-01,0,0,6.67,16.24
1989-09-02,0,0,6.44,17.8
1989-09-03,0,0,6.63,17.78
1989-09-04,0,0,6.86,17
1989-09-05,0,0,6.31,14.22
1989-09-06,0,0,10.12,9.85
1989-09-07,0,0,10.56,11.4
1989-09-08,0,0,9.75,14.21
1989-09-09,0,0,8.12,16.6
1989-09-10,0,0,7.09,18.24
1989-09-11,0,0.04,7.29,18.44
1989-09-12,0,0,7.59,19.61
1989-09-13,0,0,7.04,21.19
1989-09-14,0,0,7.8,21.85
1989-09-15,0,0,9.29,22.72
1989-09-16,0,0,7.53,21.16
1989-09-17,0,0,7.27,18.87
1989-09-18,0,0,7.02,16.27
1989-09-19,0,0,7.45,17.72
1989-09-20,0,0,8.51,20.49
1989-09-21,0,0,8.93,22.2
1989-09-22,0,0,8.64,21.43
1989-09-23,0,0,7.6,19.91
1989-09-24,0,0,8.43,20.72
1989-09-25,0,0,9.38,22.09
1989-09-26,0,0,9.39,22.72
1989-09-27,0,0,9.13,23.79
1989-09-28,0,0,10.55,23.67
1989-09-29,0,0,8.26,22.61
1989-09-30,0,0,8.17,22.15
1989-10-01,0,0,8.21,20.24
1989-10-02,0,0,7.51,14.51
1989-10-03,0,0,7.77,15.75
1989-10-04,0,0,8.59,18.36
1989-10-05,0,0,8.79,20.11
1989-10-06,0,0.02,10.05,21.23
1989-10-07,0,0,8.64,21.54
1989-10-08,0,0,8.9,19.25
1989-10-09,0,0,7.95,16.29
1989-10-10,0,0,11.37,16.51
1989-10-11,0,0,11.47,20.77
1989-10-12,0,0.2,9.49,21.88
1989-10-13,0,0,9.51,22.19
1989-10-14,0,0,10.17,22.25
1989-10-15,0,0,8.7,21.15
1989-10-16,0,0,9.84,21.49
1989-10-17,0,0,9.32,23.11
1989-10-18,0,0,8.59,23.34
1989-10-19,0,0.09,8.47,23.1
1989-10-20,0,0.02,8.81,22.52
1989-10-21,0,0,8.76,20.12
1989-10-22,0,0,10.69,19.92
1989-10-23,0,0,10.17,20.87
1989-10-24,0,0,10.36,21.08
1989-10-25,0,0,8.85,21.29
1989-10-26,0,0,10,23.18
1989-10-27,0,0,10.15,23.03
1989-10-28,0,0,9.11,23.8
1989-10-29,0,0,9.51,24.94
1989-10-30,0,0,10.58,25.6
1989-10-31,0,0,9.9,24.68
1989-11-01,0,0,9.46,23.33
1989-11-02,0,0,9.74,21
1989-11-03,0,0,10.15,20.84
1989-11-04,0,0,10.57,21.52
1989-11-05,0,0,9.27,20.65
1989-11-06,0,0.01,9.03,23.01
1989-11-07,0,0,9.8,22.93
1989-11-08,0,0,9.97,22.5
1989-11-09,0,0,9.24,22.1
1989-11-10,0,0,9.24,22.09
1989-11-11,0,0.03,9.64,22.26
1989-11-12,0,1.07,10.23,21.84
1989-11-13,0,0,10.35,22.04
1989-11-14,0,0,10.33,21.3
1989-11-15,0,0,8.67,14.37
1989-11-16,0,0,8.4,13.73
1989-11-17,0,0,8.94,17.56
1989-11-18,0,0,9.38,21.65
1989-11-19,0,0,11.63,24.68
1989-11-20,0,0,11.08,25.14
1989-11-21,0,0.01,10.67,25.37
1989-11-22,0,0.04,9.58,25.74
1989-11-23,0,0.66,7.82,24.26
1989-11-24,0,0.09,9.98,25.5
1989-11-25,0,0.17,11.39,26.73
1989-11-26,0,0.07,11.69,26.08
1989-11-27,0,0,9.22,22.47
1989-11-28,0,0,9.12,21.19
1989-11-29,0,0,9.08,22.36
1989-11-30,0,0,9.4,22.19
1989-12-01,0,0,10.59,22.17
1989-12-02,0,0,10.29,22.27
1989-12-03,0,0,9.26,21.13
1989-12-04,0,0,8.8,19.74
1989-12-05,0,0,9.35,19.81
1989-12-06,0,0,10.24,21.81
1989-12-07,0,0,9.62,23
1989-12-08,0,0,9.91,24.15
1989-12-09,0,0,9.82,24.68
1989-12-10,0,0,10.34,24.99
1989-12-11,0,0,10.07,23.92
1989-12-12,0,0,9.37,22.75
1989-12-13,0,0,9.17,22.07
1989-12-14,0,0,9.48,22.65
1989-12-15,0,0,12.44,25.75
1989-12-16,0,0,13.04,27.41
1989-12-17,0,0.18,10.61,25.25
1989-12-18,0,0.01,11.39,25.39
1989-12-19,0,0.01,10.71,25.02
1989-12-20,0,0,11.34,24.38
1989-12-21,0,0,10.63,24.42
1989-12-22,0,0,10.13,24.62
1989-12-23,0,0,10.15,25.03
1989-12-24,0,0,11.24,26.35
1989-12-25,0,1.88,10.65,27.46
1989-12-26,0,2.77,8.86,26.3
1989-12-27,0,1.37,8.67,25.25
1989-12-28,0,1.27,9.9,25.45
1989-12-29,0,0.1,9.49,24.49
1989-12-30,0,0,11.36,25.42
1989-12-31,0,0.14,10.48,25.75
1990-01-01,0,0.08,8.79,24.33
1990-01-02,0,1.6,10.33,25.24
1990-01-03,0,1.29,11.63,26.39
1990-01-04,0,0.01,12.47,27.24
1990-01-05,0,3.67,9.17,24.97
1990-01-06,0,0.39,9.03,21.45
1990-01-07,0,0.02,9.72,22.23
1990-01-08,0,0.01,8.22,22.88
1990-01-09,0,0.01,9.35,24.64
1990-01-10,0,0.88,10.12,25.31
1990-01-11,0,0,11,25.28
1990-01-12,0,0,10.96,25.37
1990-01-13,0,0,9.74,25
1990-01-14,0,0,9.45,24.37
1990-01-15,0,0,9.42,24.6
1990-01-16,0,0.06,8.84,25.06
1990-01-17,0,3.2,7.64,24.61
1990-01-18,0,5.53,7.7,23.38
1990-01-19,0,0.12,9.26,22.73
1990-01-20,0,6.53,8.58,21.54
1990-01-21,0,7.57,7.27,21.62
1990-01-22,0,8.33,6.08,21.3
1990-01-23,0,13.52,5.94,20.96
1990-01-24,0,12.46,5.41,20.73
1990-01-25,0,19.5,5.14,20.69
1990-01-26,0,9.43,5.57,20.58
1990-01-27,0,6.52,6.11,20.38
1990-01-28,0,2.73,5.89,20.16
1990-01-29,0,17.63,5.81,20.5
1990-01-30,0,1.22,6.59,21.86
1990-01-31,0,1.52,6.77,21.8
1990-02-01,0,4.8,7.05,21.27
1990-02-02,0,2.26,7.44,21.34
1990-02-03,0,0.28,7.29,22.21
1990-02-04,0,4.93,6.91,21.46
1990-02-05,0,6.31,6.37,21.47
1990-02-06,0,13.29,5.44,20.63
1990-02-07,0,0.11,7.42,21.15
1990-02-08,0,3.45,5.78,19.49
1990-02-09,0,0.2,7.46,20.74
1990-02-10,0,5.44,6.12,20.85
1990-02-11,0,0.14,7.12,20.57
1990-02-12,0,0,8.99,20.62
1990-02-13,0,0,9.54,20.61
1990-02-14,0,0,9.74,19.67
1990-02-15,0,0,8.88,19.5
1990-02-16,0,0,9.4,21.66
1990-02-17,0,0,8.85,22.52
1990-02-18,0,0,9.11,22.84
1990-02-19,0,0,9.54,22.97
1990-02-20,0,0,10.08,22.02
1990-02-21,0,0.13,8.12,21.44
1990-02-22,0,1.26,7.98,21.8
1990-02-23,0,0,9.64,23.43
1990-02-24,0,0.01,9.86,24.14
1990-02-25,0,0,11.19,24.78
1990-02-26,0,0.28,9.69,23.72
1990-02-27,0,10.55,7.07,22.04
1990-02-28,0,8.67,5.57,20.64
1990-03-01,0,4.81,7.06,20.94
1990-03-02,0,14.24,4.98,19.92
1990-03-03,0,8.8,5.3,20.21
1990-03-04,0,2.92,5.9,20.64
1990-03-05,0,0.56,6.74,20.82
1990-03-06,0,0,7.77,20.36
1990-03-07,0,0.18,7.33,20.32
1990-03-08,0,7.49,5.92,19.7
1990-03-09,0,0.05,6.6,20.94
1990-03-10,0,6.9,6,20.99
1990-03-11,0,5.42,5.69,20.92
1990-03-12,0,1.18,6.13,20.56
1990-03-13,0,0.98,6.04,20.67
1990-03-14,0,0.08,6.62,21.06
1990-03-15,0,0.38,6.23,20.87
1990-03-16,0,2.96,6.24,21.58
1990-03-17,0,0.05,6.03,21.76
1990-03-18,0,0.01,7.2,22.86
1990-03-19,0,3.94,6.2,21.39
1990-03-20,0,0.55,6.73,21.36
1990-03-21,0,0.2,5.75,20.77
1990-03-22,0,0.08,6.28,21.9
1990-03-23,0,1.98,6.39,21.42
1990-03-24,0,4.28,6.28,20.97
1990-03-25,0,5.53,5.29,19.92
1990-03-26,0,12.18,4.98,19.19
1990-03-27,0,10.27,4.57,18.72
1990-03-28,0,0.18,5.38,20.32
1990-03-29,0,0.07,5.67,20.55
1990-03-30,0,0.63,4.91,19.36
1990-03-31,0,5.13,5.22,19.4
1990-04-01,0,0.43,4.96,19.62
1990-04-02,0,0.09,5.79,19.94
1990-04-03,0,1.26,5.12,19.93
1990-04-04,0,12.74,4.32,19.02
1990-04-05,0,0.79,4.47,19.56
1990-04-06,0,0.23,5.03,19.53
1990-04-07,0,0.01,5.52,19.72
1990-04-08,0,0.09,5.94,20.06
1990-04-09,0,0.04,5.64,20.62
1990-04-10,0,0.01,5.99,20.97
1990-04-11,0,0.08,5.99,20.65
1990-04-12,0,0.02,6.33,19.63
1990-04-13,0,0,7.39,18.23
1990-04-14,0,0,6.82,17.85
1990-04-15,0,0,7.23,18.77
1990-04-16,0,0.02,7.18,20.06
1990-04-17,0,2.05,6.52,20.04
1990-04-18,0,2.58,5.62,17.89
1990-04-19,0,10.45,5.24,16.6
1990-04-20,0,31.31,4.24,15.33
1990-04-21,0,12.9,3.01,14.42
1990-04-22,0,0,5.22,14.16
1990-04-23,0,0,5.57,15.89
1990-04-24,0,0,5.82,16.57
1990-04-25,0,0.01,5.78,14.2
1990-04-26,0,0,4.44,12.47
1990-04-27,0,0,6.52,15.23
1990-04-28,0,0,5.71,12.41
1990-04-29,0,0,4.63,11.17
1990-04-30,0,0,4.98,13.29
1990-05-01,0,0,4.93,14.16
1990-05-02,0,0,4.91,14.69
1990-05-03,0,0,4.99,15.82
1990-05-04,0.05,0,5.64,17.17
1990-05-05,0,0,5.82,17.51
1990-05-06,0,0,5.59,17.69
1990-05-07,0,0,5.57,18.22
1990-05-08,0,0,5.57,18.32
1990-05-09,0.02,0,5.99,17.89
1990-05-10,1.85,0,5.63,16.69
1990-05-11,0.05,0,6.07,15.98
1990-05-12,0,0,5.45,16.31
1990-05-13,0.07,0,6.1,17.77
1990-05-14,1.22,0,6.61,17.07
1990-05-15,4.61,0,6.5,15.56
1990-05-16,0,0,6.18,15.07
1990-05-17,0,0,5.21,15.33
1990-05-18,0,0,5.19,15.99
1990-05-19,0,0,5.92,16.64
1990-05-20,0.02,0,5.9,16.47
1990-05-21,0,0,4.85,16.67
1990-05-22,0.36,0,5.31,15.56
1990-05-23,0,0,6.68,16.79
1990-05-24,5.01,0,6.79,18.96
1990-05-25,0.05,0,5.79,18.24
1990-05-26,0,0,6,17.95
1990-05-27,0,0.03,5.48,16.98
1990-05-28,0,0,5.62,15.86
1990-05-29,0,0,4.73,15.49
1990-05-30,0,0,5.73,15.79
1990-05-31,0,0,6.71,15.66
1990-06-01,0,0,6.35,15.14
1990-06-02,0,0,6.25,15.7
1990-06-03,0,0,4.44,13.22
1990-06-04,0,0,3.71,8.79
1990-06-05,0,0,4.34,9.94
1990-06-06,0,0,5.35,13.07
1990-06-07,0,0,5.6,16.87
1990-06-08,0,0,5.84,17.78
1990-06-09,0,0.03,4.72,16.65
1990-06-10,0,0,4.36,16.2
1990-06-11,0,0,5.77,15.49
1990-06-12,0,0,7.08,15.05
1990-06-13,0,0,7.56,14.73
1990-06-14,0,0,5.76,13.4
1990-06-15,0,0,4.85,13.96
1990-06-16,0,0,4.82,14.63
1990-06-17,0,0,4.15,14.18
1990-06-18,0,0,5.29,14.16
1990-06-19,0,0.05,7.65,16.89
1990-06-20,0,0.05,5,15.15
1990-06-21,0,0,4.1,13.08
1990-06-22,0,0,4.45,10.47
1990-06-23,0,0,5.84,12.27
1990-06-24,0,0,5.43,14.31
1990-06-25,0,0,4.73,16.61
1990-06-26,0,0,5.55,15.92
1990-06-27,0,0.02,3.84,8.03
1990-06-28,0,0,3.44,8.18
1990-06-29,0.2,0,3.46,10.27
1990-06-30,0,0,4.93,9.79
1990-07-01,0.66,0,6.03,12.75
1990-07-02,0,0.06,6.27,14.62
1990-07-03,0,0.01,5.18,14.54
1990-07-04,0,0,4.44,14.6
1990-07-05,0,0,4.36,15.13
1990-07-06,0,0,4.89,17.44
1990-07-07,0,0,4.31,16.66
1990-07-08,0,0,5.54,14.59
1990-07-09,0,0.01,3.95,9.77
1990-07-10,0,0,4.53,10.51
1990-07-11,0,0,5.06,13.59
1990-07-12,0,0,3.91,13.75
1990-07-13,0,0,5.66,12.25
1990-07-14,0,0,5.74,15.98
1990-07-15,0,0,5.62,16.55
1990-07-16,0,0,4.92,15.5
1990-07-17,0,0,4.86,14.5
1990-07-18,0,0,4.24,12.55
1990-07-19,0,0,5.26,12.2
1990-07-20,0,0,5.33,14.5
1990-07-21,0,0,5.28,14.91
1990-07-22,0,0,4.82,15.02
1990-07-23,0,0,5.67,15.32
1990-07-24,0,0,6.03,14.97
1990-07-25,0,0,5.6,14.29
1990-07-26,0,0,4.95,14.04
1990-07-27,0,0,5.8,13.26
1990-07-28,0,0,6.04,13.68
1990-07-29,0,0,5.33,11.9
1990-07-30,0,0,5.59,12.35
1990-07-31,0,0,6.8,13.14
1990-08-01,0,0,5.29,14.46
1990-08-02,0,0,5.07,15
1990-08-03,0,0,4.75,15.1
1990-08-04,0,0,5.68,15.35
1990-08-05,0,0,5.93,15.55
1990-08-06,0,0,6.63,16.39
1990-08-07,0,0,7.07,16.6
1990-08-08,0,0,6.57,16.73
1990-08-09,0,0,6.37,16.18
1990-08-10,0,0,5.38,15.34
1990-08-11,0,0,6.9,15.44
1990-08-12,0,0,7.89,15.65
1990-08-13,0,0.19,6.8,16.53
1990-08-14,0,0.01,5.64,16.34
1990-08-15,0,0,5.94,16.79
1990-08-16,0,0,5.35,16.15
1990-08-17,0,0,5.63,15.57
1990-08-18,0,0,5.68,15.57
1990-08-19,0,0,5.73,14.32
1990-08-20,0,0,6.8,15.48
1990-08-21,0,0,7.92,17.09
1990-08-22,0,0,6.06,18.61
1990-08-23,0,0,7.75,19.25
1990-08-24,0,0,7.47,19.41
1990-08-25,0,0,6.05,19.27
1990-08-26,0,0,7,20.29
1990-08-27,0,0,6.42,20.16
1990-08-28,0,0,6.86,20
1990-08-29,0,0,7.35,19.97
1990-08-30,0,0,7.29,18.83
1990-08-31,0,0.04,7.31,17.84
1990-09-01,0,0.36,6.58,18.46
1990-09-02,0,0,7.12,18.3
1990-09-03,0,0,6.48,18.99
1990-09-04,0,0,7.01,20.03
1990-09-05,0,0.01,7.91,21.46
1990-09-06,0,0,8.28,20.92
1990-09-07,0,0,7.3,20.83
1990-09-08,0,0,7.03,21.48
1990-09-09,0,0,7.84,20.94
1990-09-10,0,0,7.53,21.91
1990-09-11,0,0,7.43,22.14
